cardTotal, count, Alpha(true), Alpha(false), 
18, -10, 0.04364507595759903, 99.9563549240424, 
18, -9, 0.0333958584215992, 99.9666041415784, 
18, -8, 0.026285988040811503, 99.97371401195919, 
18, -7, 0.17692263561465893, 99.82307736438534, 
18, -6, 7.8130991975911E-4, 99.99921869008024, 
18, -5, 0.09768328771616552, 99.90231671228383, 
18, -4, 0.007196495724898, 99.9928035042751, 
18, -3, 0.012840228756928695, 99.98715977124307, 
18, -2, 4.2519428779996815E-4, 99.9995748057122, 
18, -1, 0.0016301678409007536, 99.9983698321591, 
18, 0, 8.30764703607656E-6, 99.99999169235296, 
18, 1, 2.108217061902451E-5, 99.99997891782938, 
18, 2, 0.003302393349699173, 99.9966976066503, 
18, 3, 0.014192098390722663, 99.98580790160928, 
18, 4, 0.0033752019977129066, 99.99662479800229, 
18, 5, 0.11428007156843023, 99.88571992843157, 
18, 6, 0.035623359178970304, 99.96437664082103, 
18, 7, 0.08423352623208302, 99.91576647376792, 
18, 8, 0.02602048810358326, 99.97397951189642, 
18, 9, 2.0306516580471055, 97.9693483419529, 
18, 10, 0.022106434790103435, 99.9778935652099, 
18, 11, 0.1918505315107808, 99.80814946848922, 
18, 12, 2.654855009909639, 97.34514499009036, 
18, 13, 5.380774492501359, 94.61922550749864, 
18, 14, 3.5288975089066383, 96.47110249109336, 
18, 15, 31.4019640896622, 68.5980359103378, 
18, 16, 31.67156702611979, 68.32843297388021, 
18, 17, 50.29505170674152, 49.70494829325848, 
18, 18, 38.96836349576273, 61.03163650423727, 
18, 19, 46.068174367275674, 53.931825632724326, 
18, 20, 50.0, 50.0, 
18, 21, 46.068174367275674, 53.931825632724326, 
18, 22, 50.0, 50.0, 
19, -21, 50.0, 50.0, 
19, -20, 50.0, 50.0, 
